candidate,candidate_type,imputation,model,training_mode,alpha,NDCG_at_K,Precision_at_K,Recall_at_K,AveragePrecision,TopWeightedRMSE,RMSE,MAE,R2,K,DiversePrecision_at_K,DiverseRecall_at_K,TolerantPrecision_at_K,TolerantRecall_at_K,TolerantDiversePrecision_at_K,TolerantDiverseRecall_at_K,ToleranceSec,MinGapSec
hybrid__alpha_0.7__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.847548276457408,0.6071428571428571,0.6071428571428571,0.668227663108266,0.1694317631500293,0.16217172623616963,0.1257366472287129,0.3243373571071936,28,0.42857142857142855,0.42857142857142855,0.9285714285714286,0.6785714285714286,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__xgboost_gpu__standard__PLUS__classifier__missing_rows_interpolate__xgboost_gpu_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.8457597522307385,0.5714285714285714,0.5714285714285714,0.655176616975679,0.18527559848246566,0.17105275556873165,0.13429034146837285,0.2483082597901871,28,0.35714285714285715,0.35714285714285715,0.9285714285714286,0.6785714285714286,0.5714285714285714,0.5357142857142857,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__xgboost_gpu_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.8449227753453411,0.5714285714285714,0.5714285714285714,0.6484778992339252,0.18368558925131565,0.17447213064600842,0.13514876326166844,0.21795497455740964,28,0.35714285714285715,0.35714285714285715,0.9285714285714286,0.6785714285714286,0.5714285714285714,0.5357142857142857,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__xgboost_gpu__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.844760968340185,0.6071428571428571,0.6071428571428571,0.6288893120062112,0.16843366474579433,0.12936862013118816,0.0937346061328063,0.5700306282978026,28,0.42857142857142855,0.42857142857142855,0.9642857142857143,0.6785714285714286,0.6785714285714286,0.6428571428571429,10,10
regression__missing_rows_interpolate__xgboost_gpu__standard,regression,missing_rows_interpolate,xgboost_gpu,standard,,0.8437153844568644,0.5714285714285714,0.5714285714285714,0.6399415477988666,0.23769448292911652,0.25902001850421397,0.2204453283371128,-0.7236389066809086,28,0.35714285714285715,0.35714285714285715,0.8928571428571429,0.6428571428571429,0.5714285714285714,0.5714285714285714,10,10
hybrid__alpha_0.5__regression__missing_rows_mean__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.8432009499801603,0.6071428571428571,0.6071428571428571,0.6473167772527813,0.16467062700795246,0.1427806498047309,0.10034797906047291,0.47625687312193665,28,0.39285714285714285,0.39285714285714285,0.9285714285714286,0.6785714285714286,0.5714285714285714,0.5357142857142857,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__xgboost_gpu__standard__PLUS__classifier__missing_rows_interpolate__xgboost_gpu_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.8428366639077006,0.6071428571428571,0.6071428571428571,0.6232163620123017,0.20852624709674017,0.1559756664324776,0.11234333304693364,0.37498084373788265,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.7142857142857143,0.6071428571428571,0.5357142857142857,10,10
regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted,regression,missing_rows_interpolate,xgboost_gpu,highlight_weighted,,0.8421947669825584,0.5714285714285714,0.5714285714285714,0.6481656349008653,0.2426797523907844,0.2660091541736406,0.2245859737055963,-0.8179117345158005,28,0.4642857142857143,0.4642857142857143,0.8571428571428571,0.6071428571428571,0.7142857142857143,0.6785714285714286,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.8413123293174075,0.6071428571428571,0.6071428571428571,0.627943707926972,0.1673451765617509,0.16201998314592136,0.12925756933877988,0.32560119233629636,28,0.4642857142857143,0.4642857142857143,0.9642857142857143,0.6785714285714286,0.7142857142857143,0.6785714285714286,10,10
hybrid__alpha_0.7__regression__missing_rows_mean__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.8411588050815134,0.6071428571428571,0.6071428571428571,0.6442644056141864,0.17754755779027467,0.1745521002123352,0.13505728406533923,0.21723790720794112,28,0.42857142857142855,0.42857142857142855,0.9285714285714286,0.6785714285714286,0.6071428571428571,0.5357142857142857,10,10
