candidate,candidate_type,imputation,model,training_mode,alpha,NDCG_at_K,Precision_at_K,Recall_at_K,AveragePrecision,TopWeightedRMSE,RMSE,MAE,R2,K,DiversePrecision_at_K,DiverseRecall_at_K,TolerantPrecision_at_K,TolerantRecall_at_K,TolerantDiversePrecision_at_K,TolerantDiverseRecall_at_K,ToleranceSec,MinGapSec
hybrid__alpha_0.5__regression__missing_rows_interpolate__random_forest__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.9363641711352871,0.6428571428571429,0.6428571428571429,0.8102777796115654,0.14441650857002264,0.1308840335176907,0.09329442730971532,0.5530476417606327,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8571428571428571,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9362340171333637,0.6428571428571429,0.6428571428571429,0.7903357003807818,0.15591734022314196,0.13714650616799387,0.09933702275145023,0.509253298776648,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8571428571428571,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__extra_trees__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.9360225114754172,0.6428571428571429,0.6428571428571429,0.78541361766746,0.14938398039613981,0.1387626934884898,0.09837234651769805,0.4976188511493216,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8571428571428571,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9360040172545459,0.6428571428571429,0.6428571428571429,0.7971451012560684,0.15355475074408634,0.13420633574985968,0.09737049697412864,0.530069178525722,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8571428571428571,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__random_forest__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9358427430609653,0.6428571428571429,0.6428571428571429,0.7916741206040316,0.1573645960250147,0.1368704987236427,0.09893781055427062,0.5112265673673801,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8571428571428571,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.9355051086807007,0.6785714285714286,0.6785714285714286,0.8123407755267037,0.17253191204086338,0.17822778008765858,0.13777601974077222,0.17122109606136526,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8214285714285714,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__random_forest__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.9350526498172728,0.75,0.75,0.8298516963246332,0.1314279357470437,0.10912760270254873,0.08022333094968816,0.6892886471785173,28,0.39285714285714285,0.39285714285714285,0.9285714285714286,0.8571428571428571,0.6428571428571429,0.6428571428571429,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__extra_trees__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9349221174813899,0.6428571428571429,0.6428571428571429,0.777308150827789,0.15928612170563508,0.1376644257056383,0.0981309355124042,0.5055397922509876,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8571428571428571,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__extra_trees__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9348973559395791,0.6428571428571429,0.6428571428571429,0.7773618885798856,0.15747277240051208,0.1380533792297728,0.09862576800450905,0.5027417748222769,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8571428571428571,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__random_forest_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.934792452203237,0.7142857142857143,0.7142857142857143,0.8135346227890394,0.14979765722735439,0.14031047771288668,0.10201095542794782,0.4863490463051158,28,0.4642857142857143,0.4642857142857143,0.9642857142857143,0.75,0.7142857142857143,0.6785714285714286,10,10
