video_id,segment_id,segment_sec,start_time,end_time,character,expected_emotion,predicted_emotion,detection_count,character_count,emotion_count,mismatch_score,entropy_score,transition_score,diversity_score,emotion_confidence_score,expected_emotion_probability,emotion_intensity_score,emotion_distance_score,valence_flip_rate,arousal_change_score,emotion_change_count,emotion_change_rate,character_emotion_rarity_score,youtube_highlight_score,is_highlight,mismatch_delta,entropy_delta,dominant_emotion_changed,surprise_spike,rolling_mismatch_mean_15sec,rolling_entropy_std_15sec,high_mismatch_duration_sec,highlight_rank_score,highlight_score_temporal_smoothed,highlight_temporal_smooth_rank_score,emotion_missing,has_detection,seconds_since_last_detection,mismatch_score_vs_prev3,mismatch_score_spike_vs_prev3max,entropy_score_vs_prev3,entropy_score_spike_vs_prev3max,transition_score_vs_prev3,transition_score_spike_vs_prev3max,diversity_score_vs_prev3,diversity_score_spike_vs_prev3max,emotion_confidence_score_vs_prev3,emotion_confidence_score_spike_vs_prev3max,emotion_intensity_score_vs_prev3,emotion_intensity_score_spike_vs_prev3max,mismatch_score_is_local_peak,mismatch_score_vs_neighbor_mean,mismatch_score_vs_local5_mean,mismatch_score_ratio_to_local5_max,entropy_score_is_local_peak,entropy_score_vs_neighbor_mean,entropy_score_vs_local5_mean,entropy_score_ratio_to_local5_max,transition_score_is_local_peak,transition_score_vs_neighbor_mean,transition_score_vs_local5_mean,transition_score_ratio_to_local5_max,diversity_score_is_local_peak,diversity_score_vs_neighbor_mean,diversity_score_vs_local5_mean,diversity_score_ratio_to_local5_max,emotion_confidence_score_is_local_peak,emotion_confidence_score_vs_neighbor_mean,emotion_confidence_score_vs_local5_mean,emotion_confidence_score_ratio_to_local5_max,emotion_intensity_score_is_local_peak,emotion_intensity_score_vs_neighbor_mean,emotion_intensity_score_vs_local5_mean,emotion_intensity_score_ratio_to_local5_max,mismatch_score_x_detected,entropy_score_x_detected,transition_score_x_detected,diversity_score_x_detected,surprise_spike_x_detected,emotion_intensity_score_x_detected,relative_time,is_late_part,is_middle_part,predicted_youtube_highlight_score_temporal_v2_raw,predicted_youtube_highlight_score_temporal_v2_smoothed,temporal_v2_residual_smoothed,data_split,predicted_top_highlight_raw,predicted_top_highlight_smoothed,predicted_top_highlight_diverse_smoothed
vW0IQoSweVI,332,5,1655,1660,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.9634542705971284,1,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.9405752726487424,1.0,1,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9678362573099415,1,0,0.9245270123848295,0.9243740779305685,0.03908019266655993,train,1,1,1
vW0IQoSweVI,333,5,1660,1665,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.9378458049886612,1,0.0,0.0,0,0.0,0.0,0.0,0,0.9970845481049563,0.921239660943742,0.9970845481049563,1,0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9707602339181286,1,0,0.9243524858788646,0.9239667523247129,0.013879052663948288,train,1,1,0
vW0IQoSweVI,331,5,1650,1655,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.925661375661376,1,0.0,0.0,0,0.0,0.0,0.0,0,0.9941690962099126,0.9062986394557828,0.9941690962099126,1,0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9649122807017544,1,0,0.9231721943481853,0.9226164268337006,0.0030449488276753645,train,1,1,0
vW0IQoSweVI,302,5,1505,1510,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8543090648958007,1,-0.6000000000000001,0.0,0,0.0,0.2,0.0,0,0.9795918367346939,0.8619371558147075,0.9795918367346939,1,0,5,-0.20000000000000004,-0.6000000000000001,0.0,0.0,0.0,0.0,-0.06547619047619047,-0.1964285714285714,-0.1126440366109212,-0.3379321098327636,-0.25652894799907994,-0.7695868439972399,0,-0.30000000000000004,-0.12000000000000004,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0,-0.0982142857142857,-0.03928571428571428,0.0,0,-0.1689660549163818,-0.06758642196655272,0.0,0,-0.38479342199861993,-0.15391736879944798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8801169590643275,1,0,0.9214134855795425,0.9214374454058785,-0.06712838051007775,train,1,1,1
vW0IQoSweVI,301,5,1500,1505,Anger,angry,fearful,2,2,1,0.6000000000000001,-0.0,0.0,0.1964285714285714,0.3379321098327636,0.1439241133630275,0.7695868439972399,0.2341073439148496,0.5,0.0999999999999999,0,0.0,0.9285714285714286,0.7944619911456648,1,0.6000000000000001,-0.0,0,0.6000000000000001,0.2,0.0,5,0.9737609329446064,0.8161292409027103,0.9737609329446064,0,1,0,0.6000000000000001,0.6000000000000001,-0.0,-0.0,0.0,0.0,0.1964285714285714,0.1964285714285714,0.3379321098327636,0.3379321098327636,0.7695868439972399,0.7695868439972399,1,0.6000000000000001,0.48000000000000004,1.0,1,-0.0,-0.0,0.0,1,0.0,0.0,0.0,1,0.1964285714285714,0.1571428571428571,1.0,1,0.3379321098327636,0.2703456878662109,1.0,1,0.7695868439972399,0.6156694751977919,1.0,0.6000000000000001,-0.0,0.0,0.1964285714285714,0.6000000000000001,0.7695868439972399,0.8771929824561403,1,0,0.9212471543676118,0.9204224294563856,-0.1259604383107208,train,1,1,0
vW0IQoSweVI,334,5,1665,1670,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6950880034553475,1,0.0,0.0,0,0.0,0.0,0.0,0,0.9475218658892128,0.7608446927977524,0.9620991253644315,1,0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9736842105263158,1,0,0.9203206238313825,0.9199247346616932,-0.22483673120634573,train,1,1,1
vW0IQoSweVI,303,5,1510,1515,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.90924711154303,1,0.0,0.0,0,0.0,0.2,0.0,0,0.9912536443148688,0.9003204297592053,0.9912536443148688,1,0,10,-0.20000000000000004,-0.6000000000000001,0.0,0.0,0.0,0.0,-0.06547619047619047,-0.1964285714285714,-0.1126440366109212,-0.3379321098327636,-0.25652894799907994,-0.7695868439972399,1,0.0,-0.12000000000000004,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,-0.03928571428571428,0.0,1,0.0,-0.06758642196655272,0.0,1,0.0,-0.15391736879944798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8830409356725146,1,0,0.921819415054833,0.9188878885444602,-0.00964077700143029,train,1,1,0
vW0IQoSweVI,300,5,1495,1500,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.7366253644314862,1,0.0,0.0,0,0.0,0.0,0.0,0,0.956268221574344,0.7559209480617641,0.956268221574344,1,0,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.30000000000000004,-0.12000000000000004,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0,-0.0982142857142857,-0.03928571428571428,0.0,0,-0.1689660549163818,-0.06758642196655272,0.0,0,-0.38479342199861993,-0.15391736879944798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8742690058479532,1,0,0.9128335740434196,0.9127793643896682,-0.17615399995818204,train,1,1,1
vW0IQoSweVI,304,5,1515,1520,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8929138321995469,1,0.0,0.0,0,0.0,0.0,0.0,0,0.9854227405247813,0.8890011175898934,0.9883381924198251,1,0,15,-0.20000000000000004,-0.6000000000000001,0.0,0.0,0.0,0.0,-0.06547619047619047,-0.1964285714285714,-0.1126440366109212,-0.3379321098327636,-0.25652894799907994,-0.7695868439972399,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8859649122807017,1,0,0.8929100794263953,0.8959104638933151,-0.0029966316937681814,stratified_test,1,1,1
vW0IQoSweVI,330,5,1645,1650,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.7232469495734823,1,0.0,0.0,0,0.0,0.0,0.0,0,0.9533527696793003,0.7614390832523503,0.9650145772594753,1,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9619883040935673,1,0,0.9162597011666946,0.8942857526817352,-0.1710388031082528,train,1,1,1
