video_id,segment_id,segment_sec,start_time,end_time,character,expected_emotion,predicted_emotion,detection_count,character_count,emotion_count,mismatch_score,entropy_score,transition_score,diversity_score,emotion_confidence_score,expected_emotion_probability,emotion_intensity_score,emotion_distance_score,valence_flip_rate,arousal_change_score,emotion_change_count,emotion_change_rate,character_emotion_rarity_score,youtube_highlight_score,is_highlight,mismatch_delta,entropy_delta,dominant_emotion_changed,surprise_spike,rolling_mismatch_mean_15sec,rolling_entropy_std_15sec,high_mismatch_duration_sec
vW0IQoSweVI,1,5,0,5,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.2635058431303429,0,0.0,0.0,0,0.0,0.0,0.0,0
vW0IQoSweVI,2,5,5,10,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5874215954240577,0,0.0,0.0,0,0.0,0.0,0.0,0
vW0IQoSweVI,3,5,10,15,Riley,neutral,neutral,1,1,1,0.0,-0.0,0.0,0.12698412698412698,0.4828723967075348,0.4828723967075348,0.39851702842861386,0.0,0.0,0.0,0,0.0,0.0,0.6233739243896215,1,0.0,-0.0,0,0.0,0.0,0.0,0
vW0IQoSweVI,4,5,15,20,Anger,angry,fearful,4,2,3,0.675,0.5343107806620333,1.0,0.32539682539682535,0.3787439465522766,0.21908673271536827,0.6444520746474153,0.28045724251246673,0.0,0.475,1,0.5,0.5,0.42883850301517273,0,0.675,0.5343107806620333,1,0.675,0.225,0.308484473046144,5
vW0IQoSweVI,5,5,20,25,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.24572254973917024,0,-0.675,-0.5343107806620333,0,0.0,0.225,0.308484473046144,0
vW0IQoSweVI,6,5,25,30,Disgust,disgusted,surprised,2,2,2,0.75,0.3562071871080222,0.0,0.25396825396825395,0.3711402267217636,0.07784409634768955,0.788718513585627,0.6049691346263317,1.0,0.30000000000000004,0,0.0,0.0,0.20823567014702746,0,0.75,0.3562071871080222,0,0.525,0.47500000000000003,0.272057733001635,5
vW0IQoSweVI,7,5,30,35,Riley,neutral,fearful,2,1,2,0.6,0.3562071871080222,0.5,0.1984126984126984,0.5914439260959625,0.19480304419994351,0.6559560423251241,0.5422051216358488,0.0,0.8,1,1.0,0.8333333333333334,0.1786577329513617,0,-0.15000000000000002,0.0,1,0.12499999999999994,0.45,0.205656315364096,10
vW0IQoSweVI,8,5,35,40,Anger,angry,angry,2,2,2,0.25,0.3562071871080222,0.5,0.25396825396825395,0.5013956129550934,0.4939022362232208,0.6547346364590337,0.2729468812791236,0.0,0.35,0,0.0,0.8,0.316697839966538,0,-0.35,0.0,1,0.0,0.5333333333333333,0.0,0
vW0IQoSweVI,9,5,40,45,Riley,neutral,happy,1,1,1,0.5,-0.0,0.5,0.12698412698412698,0.4847590625286102,0.4248247742652893,0.41137741860002264,0.5458937625582472,0.0,0.7,0,0.0,0.5,0.3394930195484212,0,0.25,-0.3562071871080222,1,0.0,0.45,0.205656315364096,0
vW0IQoSweVI,10,5,45,50,Anger,angry,neutral,3,3,2,0.5666666666666668,0.3271035759815648,0.9999999999999999,0.30952380952380953,0.36586445073286694,0.11580988143881156,0.653001283171276,0.4677762388397686,0.0,0.7999999999999999,0,0.0,1.0,0.33291637400594004,0,0.06666666666666676,0.3271035759815648,1,0.11666666666666675,0.43888888888888894,0.1977908532381014,0
