drop_id,original_frame_idx,frame_path,timestamp,timestamp_str,drop_reason
50,5190,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00050.jpg,173.0,02:53,blur
51,5310,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00051.jpg,177.0,02:57,blur
52,5340,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00052.jpg,178.0,02:58,blur
53,5430,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00053.jpg,181.0,03:01,blur
54,5460,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00054.jpg,182.0,03:02,blur
55,5520,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00055.jpg,184.0,03:04,blur
56,5550,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00056.jpg,185.0,03:05,blur
57,5640,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00057.jpg,188.0,03:08,blur
58,5850,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00058.jpg,195.0,03:15,blur
59,5880,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00059.jpg,196.0,03:16,blur
60,5910,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00060.jpg,197.0,03:17,blur
61,5940,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00061.jpg,198.0,03:18,blur
62,5970,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00062.jpg,199.0,03:19,blur
63,6390,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00063.jpg,213.0,03:33,blur
64,6420,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00064.jpg,214.0,03:34,blur
65,6450,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00065.jpg,215.0,03:35,blur
66,6480,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00066.jpg,216.0,03:36,blur
67,6540,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00067.jpg,218.0,03:38,blur
68,6720,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00068.jpg,224.0,03:44,blur
69,6750,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00069.jpg,225.0,03:45,blur
70,6930,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00070.jpg,231.0,03:51,blur
71,6960,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00071.jpg,232.0,03:52,blur
72,6990,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00072.jpg,233.0,03:53,blur
73,7050,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00073.jpg,235.0,03:55,blur
74,7080,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00074.jpg,236.0,03:56,blur
75,7110,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00075.jpg,237.0,03:57,blur
76,7140,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00076.jpg,238.0,03:58,blur
77,7170,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00077.jpg,239.0,03:59,blur
78,7260,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00078.jpg,242.0,04:02,blur
79,7290,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00079.jpg,243.0,04:03,blur
80,7470,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00080.jpg,249.0,04:09,blur
81,7500,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00081.jpg,250.0,04:10,blur
82,7650,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00082.jpg,255.0,04:15,blur
83,7680,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00083.jpg,256.0,04:16,blur
84,7710,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00084.jpg,257.0,04:17,blur
85,7740,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00085.jpg,258.0,04:18,blur
86,7770,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00086.jpg,259.0,04:19,blur
87,7800,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00087.jpg,260.0,04:20,blur
88,7980,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00088.jpg,266.0,04:26,blur
89,8010,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00089.jpg,267.0,04:27,blur
90,8040,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00090.jpg,268.0,04:28,blur
91,8070,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00091.jpg,269.0,04:29,blur
92,8100,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00092.jpg,270.0,04:30,blur
93,8130,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00093.jpg,271.0,04:31,blur
94,8160,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00094.jpg,272.0,04:32,blur
95,8190,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00095.jpg,273.0,04:33,blur
96,8220,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00096.jpg,274.0,04:34,blur
97,8250,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00097.jpg,275.0,04:35,blur
98,8280,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00098.jpg,276.0,04:36,blur
99,8310,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00099.jpg,277.0,04:37,blur
100,8340,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00100.jpg,278.0,04:38,blur
101,8520,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00101.jpg,284.0,04:44,blur
102,8550,/content/drive/MyDrive/인지프/aeaa_lora_weights/dropped_blur_frames/blur_00102.jpg,285.0,04:45,blur
