frame_id,original_frame_idx,frame_path,timestamp,timestamp_str
60,4350,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00060.jpg,145.0,02:25
61,4500,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00061.jpg,150.0,02:30
62,4560,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00062.jpg,152.0,02:32
63,4620,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00063.jpg,154.0,02:34
64,4680,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00064.jpg,156.0,02:36
65,4830,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00065.jpg,161.0,02:41
66,4920,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00066.jpg,164.0,02:44
67,4950,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00067.jpg,165.0,02:45
68,4980,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00068.jpg,166.0,02:46
69,5010,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00069.jpg,167.0,02:47
70,5040,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00070.jpg,168.0,02:48
71,5100,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00071.jpg,170.0,02:50
72,5130,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00072.jpg,171.0,02:51
73,5220,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00073.jpg,174.0,02:54
74,5280,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00074.jpg,176.0,02:56
75,5370,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00075.jpg,179.0,02:59
76,5490,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00076.jpg,183.0,03:03
77,5580,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00077.jpg,186.0,03:06
78,5610,/content/drive/MyDrive/인지프/aeaa_lora_weights/frames/frame_00078.jpg,187.0,03:07
