start_sec,end_sec,start_time,end_time,num_detections,character_count,emotion_count,avg_mismatch,emotion_entropy,transition_score,avg_emotion_confidence,highlight_score
815,820,13:35,13:40,5,5,4,0.5199999999999999,0.6846045984481139,0.0,0.4736113429069519,0.5051511496120284
515,520,08:35,08:40,4,3,3,0.6,0.5343107791203382,0.2,0.39858416467905045,0.5035776947800845
480,485,08:00,08:05,3,3,3,0.6666666666666666,0.5645750325118847,0.0,0.27822428941726685,0.5011437581279712
345,350,05:45,05:50,5,3,3,0.52,0.4883424533730734,0.4,0.36658955216407774,0.4960856133432684
1185,1190,19:45,19:50,3,2,3,0.6,0.5645750325118847,0.2,0.34310638904571533,0.4911437581279713
870,875,14:30,14:35,6,5,4,0.4000000000000001,0.6833107610339938,0.2,0.5134712706009547,0.4908276902584985
425,430,07:05,07:10,6,3,4,0.4166666666666667,0.6384947020792185,0.4,0.455454650024573,0.4871236755198046
350,355,05:50,05:55,3,3,3,0.6333333333333333,0.5645750325118847,0.0,0.4446016450723012,0.4861437581279711
230,235,03:50,03:55,4,3,3,0.55,0.5343107791203382,0.2,0.38061753660440445,0.4810776947800846
245,250,04:05,04:10,4,2,3,0.5,0.5343107791203382,0.4,0.32755451276898384,0.4785776947800846
1180,1185,19:40,19:45,1,1,1,1.0,-5.13898384632941e-10,0.0,0.5876629948616028,0.4699999998715254
1170,1175,19:30,19:35,1,1,1,1.0,-5.13898384632941e-10,0.0,0.5829209685325623,0.4699999998715254
825,830,13:45,13:50,1,1,1,1.0,-5.13898384632941e-10,0.0,0.907179594039917,0.4699999998715254
25,30,00:25,00:30,2,2,2,0.75,0.3562071860802255,0.0,0.3711402267217636,0.4665517965200564
240,245,04:00,04:05,2,2,2,0.75,0.3562071860802255,0.0,0.4253362566232681,0.4665517965200564
1190,1195,19:50,19:55,2,2,2,0.75,0.3562071860802255,0.0,0.323615700006485,0.4665517965200564
535,540,08:55,09:00,6,3,4,0.3666666666666667,0.6384947020792185,0.4,0.3908093223969142,0.46462367551980466
910,915,15:10,15:15,2,1,2,0.7,0.3562071860802255,0.2,0.284184031188488,0.46405179652005646
470,475,07:50,07:55,4,4,3,0.55,0.5343107791203382,0.0,0.3371935151517391,0.4610776947800846
1480,1485,24:40,24:45,6,4,2,0.4666666666666666,0.3562071860802255,0.4,0.423223336537679,0.4590517965200564
170,175,02:50,02:55,5,3,4,0.32,0.6846045984481139,0.4,0.38403586149215696,0.4551511496120285
595,600,09:55,10:00,4,4,3,0.5249999999999999,0.5343107791203382,0.0,0.43464653193950653,0.4498276947800845
1085,1090,18:05,18:10,4,4,4,0.42500000000000004,0.7124143721604509,0.0,0.3838672637939453,0.44935359304011274
1325,1330,22:05,22:10,4,4,4,0.42500000000000004,0.7124143721604509,0.0,0.4278680682182312,0.44935359304011274
1440,1445,24:00,24:05,3,2,2,0.6333333333333334,0.3271035749537682,0.2,0.3529614011446635,0.4467758937384422
635,640,10:35,10:40,4,2,4,0.325,0.7124143721604509,0.4,0.44060996174812317,0.4443535930401128
1415,1420,23:35,23:40,2,2,2,0.7,0.3562071860802255,0.0,0.37306205928325653,0.44405179652005644
1260,1265,21:00,21:05,2,2,2,0.7,0.3562071860802255,0.0,0.3881540596485138,0.44405179652005644
820,825,13:40,13:45,2,2,2,0.7,0.3562071860802255,0.0,0.4441854804754257,0.44405179652005644
795,800,13:15,13:20,2,2,2,0.7,0.3562071860802255,0.0,0.40364310145378113,0.44405179652005644
1200,1205,20:00,20:05,2,2,2,0.7,0.3562071860802255,0.0,0.287497341632843,0.44405179652005644
875,880,14:35,14:40,5,5,5,0.27999999999999997,0.8270874727774244,0.0,0.5164465546607971,0.4327718681943561
175,180,02:55,03:00,3,2,3,0.4666666666666666,0.5645750325118847,0.2,0.35756699244181317,0.43114375812797123
1485,1490,24:45,24:50,3,3,3,0.5,0.5645750325118847,0.0,0.3417123059431712,0.4261437581279712
280,285,04:40,04:45,4,3,3,0.42500000000000004,0.5343107791203382,0.2,0.39483460783958435,0.4248276947800846
590,595,09:50,09:55,4,2,4,0.275,0.7124143721604509,0.4,0.4360203891992569,0.4218535930401127
1105,1110,18:25,18:30,2,2,2,0.65,0.3562071860802255,0.0,0.646449863910675,0.4215517965200565
1320,1325,22:00,22:05,2,2,2,0.65,0.3562071860802255,0.0,0.34500767290592194,0.4215517965200565
